team,date,opponent,goals_scored,goals_conceded,result,tournament,venue
"Sweden","2025-06-10","Algeria",4,3,W,"Friendly","Home"
"Sweden","2025-06-06","Hungary",2,0,W,"Friendly","Away"
"Sweden","2025-03-25","Northern Ireland",5,1,W,"Friendly","Home"
"Sweden","2025-03-22","Luxembourg",0,1,L,"Friendly","Away"
"Sweden","2024-11-19","Azerbaijan",6,0,W,"UEFA Nations League","Home"
"Switzerland","2026-06-06","Australia",1,1,D,"Friendly","Away"
"Switzerland","2026-05-31","Jordan",4,1,W,"Friendly","Home"
"Switzerland","2026-03-31","Norway",0,0,D,"Friendly","Away"
"Switzerland","2026-03-27","Germany",3,4,L,"Friendly","Home"
"Switzerland","2025-11-18","Kosovo",1,1,D,"FIFA World Cup qualification","Away"
"Switzerland","2025-11-15","Sweden",4,1,W,"FIFA World Cup qualification","Home"
"Switzerland","2025-10-13","Slovenia",0,0,D,"FIFA World Cup qualification","Away"
"Switzerland","2025-10-10","Sweden",2,0,W,"FIFA World Cup qualification","Away"
"Switzerland","2025-09-08","Slovenia",3,0,W,"FIFA World Cup qualification","Home"
"Switzerland","2025-09-05","Kosovo",4,0,W,"FIFA World Cup qualification","Home"
"Switzerland","2025-06-10","United States",4,0,W,"Friendly","Away"
"Switzerland","2025-06-07","Mexico",4,2,W,"Friendly","Away"
"Switzerland","2025-03-25","Luxembourg",3,1,W,"Friendly","Home"
"Switzerland","2025-03-21","Northern Ireland",1,1,D,"Friendly","Away"
"Switzerland","2024-11-18","Spain",2,3,L,"UEFA Nations League","Away"
"Turkey","2026-06-06","Venezuela",2,1,W,"Friendly","Away"
"Turkey","2026-06-01","North Macedonia",4,0,W,"Friendly","Home"
"Turkey","2026-03-31","Kosovo",1,0,W,"FIFA World Cup qualification","Away"
"Turkey","2026-03-26","Romania",1,0,W,"FIFA World Cup qualification","Home"
"Turkey","2025-11-18","Spain",2,2,D,"FIFA World Cup qualification","Away"
"Turkey","2025-11-15","Bulgaria",2,0,W,"FIFA World Cup qualification","Home"
"Turkey","2025-10-14","Georgia",4,1,W,"FIFA World Cup qualification","Home"
"Turkey","2025-10-11","Bulgaria",6,1,W,"FIFA World Cup qualification","Away"
"Turkey","2025-09-07","Spain",0,6,L,"FIFA World Cup qualification","Home"
"Turkey","2025-09-04","Georgia",3,2,W,"FIFA World Cup qualification","Away"
"Turkey","2025-06-10","Mexico",0,1,L,"Friendly","Away"
"Turkey","2025-06-07","United States",2,1,W,"Friendly","Away"
"Turkey","2025-03-23","Hungary",3,0,W,"UEFA Nations League","Away"
"Turkey","2025-03-20","Hungary",3,1,W,"UEFA Nations League","Home"
"Turkey","2024-11-19","Montenegro",1,3,L,"UEFA Nations League","Away"
